Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Кастрюля нержавеющая сталь с силиконовой ручкой, 3,8л",949. 99,659.99,−31%,с 10 марта до 06 апреля
"Вино игристое АБРАУ-ДЮРСО Премиум выдержанное белое полусухое, 0,75л",920. 00,699.00,−24%,с 06 апреля до 12 апреля
"Пупс с аксессуарами, 31см",969. 99,699.99,−28%,с 10 марта до 06 апреля
"Вино MARCO ZUNINO Шардоне, белое, сухое, 0,75 л (Аргентина)",973. 70,739.99,−24%,с 06 апреля до 12 апреля
"Кастрюля нержавеющая сталь с силиконовой ручкой, 5,9л",1229. 99,859.99,−30%,с 10 марта до 06 апреля
"Коньяк армянский АРВЕСТ НАПОЛЕОН 7-летний 40%, 0,5л",1141. 60,879.00,−23%,с 06 апреля до 12 апреля
Игрушка ТРЮКОВАЯ МАШИНА со светом и звуком,1199. 99,899.99,−25%,с 10 марта до 06 апреля
"Кофе ЛАВАЦЦА, зерно, 1кг",1831. 00,1299.99,−29%,с 06 апреля до 12 апреля
"Кофе ЛАВАЦЦА, зерно, 1кг",1857. 10,1299.99,−30%,с 06 апреля до 12 апреля
"Вино ликер МОНТЕЙРО Портвейн, 10 лет, красное, 0,75 л",1849. 30,1349.99,−27%,с 06 апреля до 12 апреля
Швабра с отжимом Твист энд гоу,1899. 99,1499.99,−21%,с 10 марта до 06 апреля
"Текила ЭСПОЛОН, Бланко, 40% (Мексика), 0,75л",2010. 30,1749.00,−13%,с 06 апреля до 12 апреля
